Gliederung;FKS;DQR_Niveau;gueltigVon;gueltigBis
A03;13500;4;;
A03;13600;4;;
A03;13700;4;;
A03;13900;4;;
A03;14000;4;;
A03;14100;4;;
A03;14200;4;;
A03;14400;4;;
A03;14501;4;;
A03;14502;4;;
A03;14700;4;;
A03;14800;3;;
A03;15000;4;;
A03;15100;4;;
A03;15201;4;;
A03;15202;4;;
A03;15500;4;;
A03;15600;4;;
A03;15700;4;;
A03;15900;3;;
A03;16000;3;;
A03;16101;4;;
A03;16102;4;;
A03;16300;4;;
A03;16700;4;;
A03;16800;4;;
A03;16900;4;;
A03;17000;4;;
A03;17100;4;;
A03;17101;4;;
A03;17102;4;;
A03;17200;4;;
A03;17701;4;;
A03;17702;4;;
A03;17703;4;;
A03;17704;4;;
A03;17705;4;;
A03;17706;4;;
A03;17707;4;;
A03;17708;4;;
A03;17709;4;;
A03;18000;4;;
A03;18100;4;;
A03;18200;4;;
A03;18301;4;;
A03;18302;4;;
A03;18303;4;;
A03;18304;4;;
A03;18305;4;;
A03;18400;4;;
A03;18701;4;;
A03;18702;4;;
A03;18900;4;;
A03;19000;4;;
A03;19101;4;;
A03;19102;4;;
A03;19103;4;;
A03;19104;4;;
A03;19300;4;;
A03;19400;4;;
A03;19500;3;;
A03;20000;4;;
A03;20100;3;;
A03;20300;4;;
A03;20700;4;;
A03;20800;4;;
A03;20900;4;;
A03;21000;4;;
A03;21100;4;;
A03;21200;4;;
A03;21300;4;;
A03;21400;4;;
A03;21600;4;;
A03;21700;4;;
A03;21900;4;;
A03;22001;4;;
A03;22002;4;;
A03;22003;4;;
A03;22200;4;;
A03;22300;4;;
A03;22500;3;;
A03;22600;4;;
A03;22700;3;;
A03;22800;4;;
A03;23201;4;;
A03;23203;4;;
A03;23204;4;;
A03;23205;4;;
A03;23206;4;;
A03;23207;4;;
A03;23208;4;;
A03;23400;4;;
A03;23500;4;;
A03;23700;4;;
A03;23801;4;;
A03;23802;4;;
A03;23803;4;;
A03;24000;4;;
A03;24101;4;;
A03;24102;4;;
A03;24103;4;;
A03;24201;4;;
A03;24202;4;;
A03;24400;4;;
A03;24700;4;;
A03;24801;4;;
A03;24802;4;;
A03;24803;4;;
A03;24900;4;;
A03;25001;4;;
A03;25002;4;;
A03;25003;4;;
A03;25100;4;;
A03;25600;4;;
A03;25700;4;;
A03;26000;3;;
A03;26050;3;;
A03;26051;3;;
A03;26052;3;;
A03;26200;4;;
A03;26300;4;;
A03;26400;4;;
A03;26510;4;;
A03;26511;4;;
A03;26600;4;;
A03;26700;4;;
A03;26800;4;;
A03;26900;4;;
A03;27203;4;;
A03;27204;4;;
A03;27205;4;;
A03;27206;4;;
A03;27400;4;;
A03;27500;4;;
A03;27600;4;;
A03;27700;4;;
A03;27900;4;;
A03;28000;4;;
A03;28300;3;;
