"ID";"Gruppe";"KurzBez";"Bezeichnung";"Grundschule";"Tabelle";"DBFeld";"Typ";"Control";"WerteAnzeige";"WerteSQL";"LookupInfo";"OperatorenAnzeige";"OperatorenSQL";"Zusatzbedingung";"ZusatzTabellen"
50;E;Postleitzahl;Erzieher: PLZ;+;SchuelerErzAdr;ErzPLZ;C;EDIT;;;;"gleich;ungleich;größer;größer gleich;kleiner;kleiner gleich;enthält;enthält nicht;beginnt mit;leer;nicht leer";"=;<>;>;>=;<;<=;LIKE;NOT LIKE;like;IS NULL;IS NOT NULL";Schueler.ID=SchuelerErzAdr.Schueler_ID;
51;E;Ortsteil;Erzieher: Ortsteil;+;SchuelerErzAdr;ErzOrtsteil_ID;N;DBLOOKUP;;;"dsOrtsteil;Bezeichnung;ID";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";Schueler.ID=SchuelerErzAdr.Schueler_ID;
52;E;Erhält Anschreiben;Erzieher: Erhält Anschreiben;+;SchuelerErzAdr;ErzAnschreiben;C;EDIT;"Ja;Nein";"+;-";;gleich;=;Schueler.ID=SchuelerErzAdr.Schueler_ID;
53;TA;Ansprechpartner-Art;telef. Ansprechpartner: Art;+;SchuelerTelefone;Telefonart_ID;N;DBLOOKUP;;;"dsTelefonArt;Bezeichnung;ID";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";Schueler.ID=SchuelerTelefone.Schueler_ID;
54;TA;Telefon-Nr.;telef. Ansprechpartner: Telefon;+;SchuelerTelefone;TelefonNummer;C;EDIT;;;;"gleich;enthält;beginnt mit";"=;LIKE;like";Schueler.ID=SchuelerTelefone.Schueler_ID;
55;S;Vermerk-Art;Schüler: Vermerk-Art;+;SchuelerVermerke;Vermerkart_ID;N;DBLOOKUP;;;"dsVermerkArt;Bezeichnung;ID";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";Schueler.ID=SchuelerVermerke.Schueler_ID;
56;S;Vermerk-Datum;Schüler: Vermerk-Datum;+;SchuelerVermerke;Datum;D;DATEEDIT;;;;"gleich;größer;größer gleich;kleiner;kleiner gleich;leer;nicht leer";"=;>;>=;<;<=;IS NULL;IS NOT NULL";Schueler.ID=SchuelerVermerke.Schueler_ID;
57;S;Entlassungs-Datum;Schüler: Entlassungs-Datum;+;Schueler;Entlassdatum;D;DATEEDIT;;;;"gleich;größer;größer gleich;kleiner;kleiner gleich;leer;nicht leer";"=;>;>=;<;<=;IS NULL;IS NOT NULL";;
58;S;Entlassungs-Jahrgang;Schüler: Entlassungs-Jahrgang;+;Schueler;Entlassjahrgang;C;DBLOOKUP;;;"dsEigeneSchule_Jahrgaenge;InternKrz;ASDJahrgang";"gleich;ungleich;größer;größer gleich;kleiner;kleiner gleich;leer;nicht leer";"=;<>;>;>=;<;<=;IS NULL;IS NOT NULL";;
59;S;Entlassungs-Grund;Schüler: Entlassungs-Grund;+;Schueler;Entlassgrund_ID;N;DBLOOKUP;;;"dsEntlassGrund;Bezeichnung;ID";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";;
